Region,Mode,Name,Miles,Construction period,Project status,Estimated construction cost (USD),Components,Website
Bay Area CA,Commuter Rail,Caltrain Electrification and Modernization,49,2016-2021,Soon to begin construction,1510000000,Electrification; new rolling stock,http://www.caltrain.com/projectsplans/CaltrainModernization/Modernization/PeninsulaCorridorElectrificationProject.html
Chicago IL,Heavy Rail,Your New Blue,12.5,2014-2018,Major renovation: Under construction,492000000,Track; Stations; Signals,http://www.transitchicago.com/yournewblue/
Los Angeles CA,Light Rail,Blue Line Upgrades,22,2014-2019,Major renovation: Under construction,1200000000,Tracks; Power; Trains,http://www.metro.net/projects/blue-line-upgrades/
New York NY,Heavy Rail,7 Subway CBTC,,2008-2017,Major renovation: Under construction,586000000,CBTC Installation,http://web.mta.info/nyct/service/building7update.htm
New York NY,Commuter Rail,LIRR Double Track Project,18,2013-2018,Major renovation: Under construction,430000000,Second track,http://web.mta.info/lirr/doubletrack/
New York NY,Heavy Rail,71st and Union Turnpike Signal Interlockings Improvements,,2012-2017,Major renovation: Under construction,311000000,Signal Interlockings Modernization,http://web.mta.info/capitaldashboard/allframenew_head.html?PROJNUM=t6080310&amp;PLTYPE=1
New York NY,Heavy Rail,Dyer Avenue Line Signal Improvements,,2013-2017,Major renovation: Under construction,226000000,New Fixed Block Wayside Signals,http://web.mta.info/capitaldashboard/allframenew_head.html?PROJNUM=t6080313&amp;PLTYPE=1
New York NY,Heavy Rail,Roosevelt Avenue Signal Improvements,,2013-2016,Major renovation: Under construction,101000000,Modernize Interlocking,http://web.mta.info/capitaldashboard/allframenew_head.html?PROJNUM=t6080314&amp;PLTYPE=1
New York NY,Heavy Rail,Queens Boulevard CBTC Phase 1,,,Major renovation: Under construction,123000000,CBTC,http://web.mta.info/capitaldashboard/allframenew_head.html?PROJNUM=t6080319&amp;PLTYPE=1
New York NY,Heavy Rail,34th Street Signal Improvements,,2013-2018,Major renovation: Under construction,226000000,Signal Interlocking Modernization,http://web.mta.info/capitaldashboard/allframenew_head.html?PROJNUM=t6080315&amp;PLTYPE=1
New York NY,Heavy Rail,West 4th Street Signal Improvements,,2014-2018,Major renovation: Under construction,230000000,Signal Interlocking Modernization,http://web.mta.info/capitaldashboard/allframenew_head.html?PROJNUM=t6080316&amp;PLTYPE=1
Toronto ON,Heavy Rail,Yonge-University-Spadina Subway Improvements,,2014-2020,Major renovation: Under construction,,Automatic Train Control,https://www.ttc.ca/About_the_TTC/Projects/Automatic_Train_Control/index.jsp
Washington DC,Heavy Rail,Blue and Orange Line Rehab,,2010-2016,Major renovation: Under construction,278000000,Rehabilitation replacement and repair of platforms; tracks; signals,http://www.clarkconstruction.com/our-work/projects/metro-orange-blue-line-rehab
